Adm Id,BR Id,Adm,PE,Site/Allotment Name,TV Channel / Freq Block,Notice Type,Plan,Intent,Frequency Range,Service Type
202502164,125004142,ARS,1,TAIF,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202502163,125004141,ARS,1,ABHA,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202502162,125004140,ARS,1,MEDINAH,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
202502161,125004139,ARS,1,MAKKAH,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2025010114,125000251,ARS,1,AL HWAID,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2025010113,125000250,ARS,1,ASH SHAMALI,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2025010112,125000249,ARS,1,ALMAJMAH,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2025010111,125000248,ARS,1,ALKARJ,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2025010110,125000247,ARS,1,AL KHOBAR,8C,GS1,GE06D,Recorded,195-202,T-DAB Assignment
2025010109,125000246,ARS,1,AL KHOBAR,7A,GS1,GE06D,Recorded,188-195,T-DAB Assignment
2025010108,125000245,ARS,1,AL KHOBAR,5D,GS1,GE06D,Recorded,174-181,T-DAB Assignment
2025010107,125000244,ARS,1,GARAIN,8A,GS1,GE06D,Recorded,195-202,T-DAB Assignment
2025010106,125000243,ARS,1,GARAIN,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2025010105,125000242,ARS,1,GARAIN,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
2025010104,125000241,ARS,1,AL OGAIR,11C,GS1,GE06D,Recorded,216-223,T-DAB Assignment
2025010103,125000240,ARS,1,AL OGAIR,10D,GS1,GE06D,Recorded,209-216,T-DAB Assignment
2025010102,125000239,ARS,1,AL OGAIR,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
2025010101,125000238,ARS,1,AL DAHRAN,6A,GS1,GE06D,Recorded,181-188,T-DAB Assignment
2024070416,124070960,ARS,1,MAQNA,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
2024070415,124070959,ARS,1,MAQNA,5B,GS1,GE06D,Recorded,174-181,T-DAB Assignment
2024070414,124070958,ARS,1,MAQNA,6B,GS1,GE06D,Recorded,181-188,T-DAB Assignment
2024070413,124070957,ARS,1,MAQNA,7B,GS1,GE06D,Recorded,188-195,T-DAB Assignment
2024070412,124070956,ARS,1,MAQNA,8B,GS1,GE06D,Recorded,195-202,T-DAB Assignment
2024070411,124070955,ARS,1,MAQNA,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
2024070410,124070954,ARS,1,MAQNA,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
2024070409,124070953,ARS,1,MAQNA,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2024070408,124070952,ARS,1,HAQL,12B,GS1,GE06D,Recorded,223-230,T-DAB Assignment
2024070407,124070951,ARS,1,HAQL,11B,GS1,GE06D,Recorded,216-223,T-DAB Assignment
2024070406,124070950,ARS,1,HAQL,10B,GS1,GE06D,Recorded,209-216,T-DAB Assignment
2024070405,124070949,ARS,1,HAQL,7C,GS1,GE06D,Recorded,188-195,T-DAB Assignment
2024070404,124070948,ARS,1,HAQL,9B,GS1,GE06D,Recorded,202-209,T-DAB Assignment
2024070403,124070947,ARS,1,HAQL,9C,GS1,GE06D,Recorded,202-209,T-DAB Assignment
2024070402,124070946,ARS,1,HAQL,10C,GS1,GE06D,Recorded,209-216,T-DAB Assignment
